ID_VENDA;ID_PRODUTO;NUM_VENDA;DATA_VENDA;QUANTIDADE;VALOR_UNITARIO;VALOR_TOTAL
1;4;100254;2025-08-30 01:13:45.750000000;6;149,00;894,00
2;1;100255;2025-08-20 01:13:45.750000000;2;1849,00;3698,00
3;2;100265;2025-08-10 01:13:45.750000000;8;224,90;1799,20
4;4;100547;2025-08-10 01:13:45.750000000;5;149,00;745,00
5;7;1002588;2025-08-10 01:13:45.750000000;7;231,00;1617,00
6;8;40025587;2025-08-10 01:13:45.750000000;90;43,90;3951,00
7;9;10033658;2025-08-10 01:13:45.750000000;25;111,93;2798,25
8;5;25581112;2025-08-10 01:13:45.750000000;100;390,00;39000,00
9;3;22511587;2025-08-10 01:13:45.750000000;20;7399,00;147980,00
10;2;255558;2025-08-11 01:13:45.750000000;5;224,90;1124,50
11;4;225547;2025-08-11 01:13:45.750000000;6;149,00;894,00
12;5;55223321;2025-08-12 01:13:45.750000000;10;390,00;3900,00
